"","dose","auc","specificity","sensitivity","correction"
"119",2310,0.928571428571429,1,0.642857142857143,"allcorrected"
"120",2330,0.928571428571429,1,0.642857142857143,"allcorrected"
"121",2350,0.928571428571429,1,0.642857142857143,"allcorrected"
"122",2370,0.928571428571429,1,0.642857142857143,"allcorrected"
"123",2390,0.928571428571429,1,0.642857142857143,"allcorrected"
"124",2410,0.928571428571429,1,0.642857142857143,"allcorrected"
"125",2430,0.928571428571429,1,0.642857142857143,"allcorrected"
"126",2450,0.910714285714286,1,0.642857142857143,"allcorrected"
"127",2470,0.928571428571429,1,0.642857142857143,"allcorrected"
"128",2490,0.928571428571429,1,0.642857142857143,"allcorrected"
"129",2510,0.928571428571429,1,0.642857142857143,"allcorrected"
"130",2530,0.910714285714286,1,0.642857142857143,"allcorrected"
"131",2550,0.919642857142857,1,0.642857142857143,"allcorrected"
"132",2570,0.928571428571429,1,0.642857142857143,"allcorrected"
"133",2590,0.892857142857143,1,0.642857142857143,"allcorrected"
"134",2610,0.928571428571429,1,0.642857142857143,"allcorrected"
"135",2630,0.928571428571429,1,0.642857142857143,"allcorrected"
"136",2650,0.928571428571429,1,0.642857142857143,"allcorrected"
"137",2670,0.928571428571429,1,0.642857142857143,"allcorrected"
"138",2690,0.928571428571429,1,0.642857142857143,"allcorrected"
"139",2710,0.928571428571429,1,0.642857142857143,"allcorrected"
"140",2730,0.928571428571429,1,0.642857142857143,"allcorrected"
"141",2750,0.928571428571429,1,0.642857142857143,"allcorrected"
"142",2770,0.928571428571429,1,0.642857142857143,"allcorrected"
"143",2790,0.928571428571429,1,0.642857142857143,"allcorrected"
"144",2810,0.928571428571429,1,0.642857142857143,"allcorrected"
"145",2830,0.928571428571429,1,0.642857142857143,"allcorrected"
"146",2850,0.928571428571429,1,0.642857142857143,"allcorrected"
"147",2870,0.928571428571429,1,0.642857142857143,"allcorrected"
"148",2890,0.928571428571429,1,0.642857142857143,"allcorrected"
"149",2910,0.928571428571429,1,0.642857142857143,"allcorrected"
"150",2930,0.928571428571429,1,0.642857142857143,"allcorrected"
"151",2950,0.928571428571429,1,0.642857142857143,"allcorrected"
"152",2970,0.928571428571429,1,0.642857142857143,"allcorrected"
"153",2990,0.928571428571429,1,0.642857142857143,"allcorrected"
"154",3010,0.928571428571429,1,0.642857142857143,"allcorrected"
"155",3030,0.928571428571429,1,0.642857142857143,"allcorrected"
"156",3050,0.928571428571429,1,0.642857142857143,"allcorrected"
"157",3070,0.928571428571429,1,0.642857142857143,"allcorrected"
"158",3090,0.928571428571429,1,0.642857142857143,"allcorrected"
"159",3110,0.928571428571429,1,0.642857142857143,"allcorrected"
"160",3130,0.928571428571429,1,0.642857142857143,"allcorrected"
"161",3150,0.928571428571429,1,0.642857142857143,"allcorrected"
"162",3170,0.928571428571429,1,0.642857142857143,"allcorrected"
"163",3190,0.928571428571429,1,0.642857142857143,"allcorrected"
"164",3210,0.928571428571429,1,0.642857142857143,"allcorrected"
"165",3230,0.928571428571429,1,0.642857142857143,"allcorrected"
"166",3250,0.928571428571429,1,0.642857142857143,"allcorrected"
"167",3270,0.928571428571429,1,0.642857142857143,"allcorrected"
"168",3290,0.928571428571429,1,0.642857142857143,"allcorrected"
"169",3310,0.928571428571429,1,0.642857142857143,"allcorrected"
"170",3330,0.928571428571429,1,0.642857142857143,"allcorrected"
"171",3350,0.928571428571429,1,0.642857142857143,"allcorrected"
"172",3370,0.928571428571429,1,0.642857142857143,"allcorrected"
"173",3390,0.928571428571429,1,0.642857142857143,"allcorrected"
"174",3410,0.928571428571429,1,0.642857142857143,"allcorrected"
"175",3430,0.928571428571429,1,0.642857142857143,"allcorrected"
"176",3450,0.928571428571429,1,0.642857142857143,"allcorrected"
"177",3470,0.928571428571429,1,0.642857142857143,"allcorrected"
"178",3490,0.928571428571429,1,0.642857142857143,"allcorrected"
"179",3510,0.928571428571429,1,0.642857142857143,"allcorrected"
"180",3530,0.928571428571429,1,0.642857142857143,"allcorrected"
"181",3550,0.928571428571429,1,0.642857142857143,"allcorrected"
"182",3570,0.928571428571429,1,0.642857142857143,"allcorrected"
"183",3590,0.928571428571429,1,0.642857142857143,"allcorrected"
"184",3610,0.910714285714286,1,0.642857142857143,"allcorrected"
"185",3630,0.928571428571429,1,0.642857142857143,"allcorrected"
"186",3650,0.928571428571429,1,0.642857142857143,"allcorrected"
"187",3670,0.928571428571429,1,0.642857142857143,"allcorrected"
"188",3690,0.946428571428571,1,0.642857142857143,"allcorrected"
"189",3710,0.928571428571429,1,0.642857142857143,"allcorrected"
"190",3730,0.928571428571429,1,0.642857142857143,"allcorrected"
